Group,Path,Injection,XSS,DoS
Group 1,368;383;384;385;386;388;432;846;853;854;859;860;864,59;61;62;87;90,441;444;450;451,48;50;51
Group 2,76;78;79;80;81;83;95;108;113;114;119;120;123,144;147;151;287;290,73;74;75;76,459;462;463
Group 3,76;78;79;80;81;83;95;108;113;114;119;120;123,59;61;62;87;90,441;444;450;451,459;462;463
Group 4,368;383;384;385;386;388;432;846;853;854;859;860;864,144;147;151;287;290,73;74;75;76,48;50;51
Group 5,368;383;384;385;386;388;432;846;853;854;859;860;864,59;61;62;87;90,73;74;75;76,459;462;463
Group 6,76;78;79;80;81;83;95;108;113;114;119;120;123,144;147;151;287;290,441;444;450;451,48;50;51
